polygon_id_origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,218.0,9.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,61.0,256.0,19.0,19.0,25.0,8.0,10.0,1.0,4.0,7.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
21.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,18.0,310.0,33.0,15.0,11.0,3.0,3.0,2.0,1.0,2.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,18.0,107.0,32.0,47.0,35.0,7.0,13.0,8.0,8.0,5.0,2.0,4.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,10.0,42.0,25.0,48.0,214.0,37.0,8.0,17.0,12.0,6.0,0.0,9.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0
24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,22.0,14.0,18.0,91.0,57.0,32.0,16.0,6.0,11.0,1.0,6.0,5.0,1.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,9.0,34.0,51.0,43.0,6.0,8.0,8.0,3.0,4.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,0.0,7.0,26.0,23.0,46.0,42.0,18.0,17.0,3.0,14.0,8.0,5.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,17.0,20.0,10.0,21.0,66.0,51.0,3.0,18.0,12.0,7.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0
28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,7.0,10.0,9.0,16.0,43.0,216.0,21.0,54.0,9.0,9.0,1.0,5.0,4.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,8.0,7.0,20.0,21.0,65.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0,7.0,16.0,48.0,57.0,158.0,16.0,7.0,4.0,4.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0
31.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,5.0,0.0,10.0,17.0,43.0,53.0,192.0,39.0,24.0,8.0,8.0,8.0,4.0,2.0,5.0,3.0,2.0,0.0,0.0
32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,1.0,5.0,6.0,17.0,22.0,23.0,100.0,40.0,61.0,18.0,26.0,21.0,12.0,6.0,6.0,1.0,3.0,2.0,1.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,6.0,1.0,8.0,9.0,8.0,23.0,11.0,4.0,3.0,0.0,5.0,3.0,0.0,1.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,6.0,0.0,13.0,3.0,24.0,9.0,19.0,26.0,52.0,30.0,5.0,5.0,10.0,3.0,4.0,0.0,2.0
35.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,3.0,5.0,18.0,3.0,16.0,30.0,25.0,19.0,99.0,141.0,34.0,22.0,12.0,13.0,4.0,4.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,9.0,2.0,11.0,17.0,11.0,5.0,46.0,131.0,97.0,45.0,17.0,7.0,4.0,3.0,2.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,7.0,10.0,4.0,2.0,9.0,7.0,6.0,26.0,61.0,60.0,123.0,16.0,7.0,4.0,2.0,2.0
38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,5.0,8.0,1.0,4.0,1.0,9.0,3.0,23.0,39.0,28.0,32.0,463.0,14.0,12.0,8.0,2.0
39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,6.0,6.0,10.0,19.0,31.0,18.0,159.0,72.0,19.0,14.0,5.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,5.0,7.0,6.0,21.0,23.0,317.0,24.0,10.0
41.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,9.0,0.0,17.0,19.0,146.0,247.0,32.0
42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,8.0,31.0,69.0,254.0
