cell #, vertex #, lat, lon
006, 06, 30.312500, -115.816662
006, 07, 30.316667, -115.816661
006, 08, 30.320833, -115.816662
006, 09, 30.325000, -115.816664
006, 10, 30.329167, -115.816665
006, 11, 30.333333, -115.816667
006, 12, 30.337500, -115.816665
006, 13, 30.341667, -115.816664
006, 14, 30.345833, -115.816662
006, 15, 30.350000, -115.816661
006, 16, 30.350000, -115.820829
006, 17, 30.350000, -115.824997
006, 18, 30.350000, -115.829165
006, 19, 30.350000, -115.833333
006, 20, 30.350000, -115.837499
006, 21, 30.350000, -115.841664
006, 22, 30.350000, -115.845829
006, 23, 30.308333, -115.895420
006, 24, 30.304167, -115.892455
006, 25, 30.304167, -115.888720
006, 26, 30.300000, -115.885756
006, 27, 30.300000, -115.882021
006, 28, 30.300000, -115.878286
006, 29, 30.295833, -115.879054
006, 30, 30.291667, -115.879823
006, 31, 30.291667, -115.816664
007, 01, 30.350000, -115.845829
007, 02, 30.350000, -115.849994
007, 03, 30.354167, -115.849996
007, 04, 30.358333, -115.849997
007, 05, 30.362500, -115.849999
007, 06, 30.366667, -115.850000
007, 07, 30.370833, -115.849999
007, 08, 30.375000, -115.849997
007, 09, 30.379167, -115.849996
007, 10, 30.383333, -115.849994
007, 11, 30.383333, -115.854162
007, 12, 30.383333, -115.858330
007, 13, 30.383333, -115.862499
007, 14, 30.383333, -115.866667
007, 15, 30.383333, -115.870832
007, 16, 30.383333, -115.874997
007, 17, 30.383333, -115.879162
007, 18, 30.383333, -115.883328
007, 19, 30.383333, -115.887496
007, 20, 30.383333, -115.891664
007, 21, 30.329167, -115.917723
007, 22, 30.329167, -115.913987
007, 23, 30.329167, -115.910252
007, 24, 30.325000, -115.911020
007, 25, 30.320833, -115.908053
007, 26, 30.316667, -115.905088
007, 27, 30.312500, -115.902122
007, 28, 30.308333, -115.899156
007, 29, 30.308333, -115.895420
007, 30, 30.350000, -115.845829
008, 01, 30.383333, -115.891664
008, 02, 30.383333, -115.895832
008, 03, 30.383333, -115.900000
008, 04, 30.383333, -115.904165
008, 05, 30.383333, -115.908330
008, 06, 30.383333, -115.912496
008, 07, 30.383333, -115.916661
008, 08, 30.383333, -115.920829
008, 09, 30.383333, -115.924997
008, 10, 30.383333, -115.929165
008, 11, 30.383333, -115.933333
008, 12, 30.383333, -115.937499
008, 13, 30.383333, -115.941664
008, 14, 30.383333, -115.945829
008, 15, 30.383333, -115.949994
008, 16, 30.383333, -115.954162
008, 17, 30.383333, -115.958330
008, 18, 30.383333, -115.962499
008, 19, 30.383333, -115.966667
