cell #, vertex #, lat, lon
007, 18, 33.433333, -117.839585
007, 19, 33.427086, -117.833333
007, 20, 33.400000, -117.806221
007, 21, 33.393783, -117.800000
007, 22, 33.370554, -117.766667
007, 23, 33.366667, -117.754144
007, 24, 33.359136, -117.733333
007, 25, 33.333333, -117.706161
007, 26, 33.416667, -117.616667
008, 01, 33.583333, -117.850000
008, 02, 33.583333, -117.883333
008, 03, 33.583333, -117.916667
008, 04, 33.616667, -117.916667
008, 05, 33.616667, -117.950000
008, 06, 33.616667, -117.983333
008, 07, 33.650000, -117.983333
008, 08, 33.650000, -118.016667
008, 09, 33.683333, -118.016667
008, 10, 33.683333, -118.050000
008, 11, 33.716667, -118.050000
008, 12, 33.716667, -118.083333
008, 13, 33.659079, -118.166667
008, 14, 33.633333, -118.139767
008, 15, 33.626904, -118.133333
008, 16, 33.600000, -118.106404
008, 17, 33.593601, -118.100000
008, 18, 33.566667, -118.073040
008, 19, 33.560298, -118.066667
008, 20, 33.537176, -118.033333
008, 21, 33.533333, -118.020904
008, 22, 33.525771, -118.000000
008, 23, 33.503851, -117.966667
008, 24, 33.500000, -117.954218
008, 25, 33.492444, -117.933333
008, 26, 33.583333, -117.850000
009, 01, 33.716667, -118.083333
009, 02, 33.750000, -118.083333
009, 03, 33.750000, -118.116667
009, 04, 33.750000, -118.150000
009, 05, 33.750000, -118.183333
009, 06, 33.750000, -118.216667
009, 07, 33.750000, -118.250000
009, 08, 33.750000, -118.283333
009, 09, 33.716667, -118.283333
009, 10, 33.716667, -118.316667
009, 11, 33.716667, -118.350000
009, 12, 33.750000, -118.350000
009, 13, 33.750000, -118.383333
009, 14, 33.659079, -118.433333
009, 15, 33.637149, -118.400000
009, 16, 33.633333, -118.387626
009, 17, 33.627832, -118.366667
009, 18, 33.627832, -118.333333
009, 19, 33.627832, -118.300000
009, 20, 33.627832, -118.266667
009, 21, 33.633333, -118.245707
009, 22, 33.637149, -118.233333
009, 23, 33.659079, -118.200000
009, 24, 33.659079, -118.166667
009, 25, 33.716667, -118.083333
010, 01, 33.750000, -118.383333
010, 02, 33.750000, -118.416667
010, 03, 33.783333, -118.416667
010, 04, 33.816667, -118.416667
010, 05, 33.850000, -118.416667
010, 06, 33.883333, -118.416667
010, 07, 33.916667, -118.416667
010, 08, 33.916667, -118.450000
010, 09, 33.950000, -118.450000
010, 10, 33.920133, -118.566667
010, 11, 33.900000, -118.556434
010, 12, 33.866667, -118.539785
010, 13, 33.854910, -118.533333
010, 14, 33.833333, -118.523018
010, 15, 33.800000, -118.522976
010, 16, 33.766667, -118.522935
010, 17, 33.733333, -118.522893
010, 18, 33.700000, -118.506282
010, 19, 33.693510, -118.500000
010, 20, 33.670473, -118.466667
010, 21, 33.666667, -118.454311
010, 22, 33.659079, -118.433333
010, 23, 33.750000, -118.383333
011, 01, 33.950000, -118.450000
011, 02, 33.983333, -118.450000
011, 03, 33.983333, -118.483333
011, 04, 34.016667, -118.483333
011, 05, 34.016667, -118.516667
011, 06, 34.016667, -118.550000
011, 07, 34.050000, -118.550000
011, 08, 34.050000, -118.583333
011, 09, 34.050000, -118.616667
011, 10, 34.050000, -118.650000
011, 11, 34.050000, -118.683333
011, 12, 34.016667, -118.683333
011, 13, 34.016667, -118.716667
011, 14, 34.016667, -118.750000
011, 15, 34.016667, -118.783333
011, 16, 33.927824, -118.766667
011, 17, 33.927824, -118.733333
011, 18, 33.927824, -118.700000
011, 19, 33.927824, -118.666667
011, 20, 33.933333, -118.645537
011, 21, 33.937068, -118.633333
011, 22, 33.937068, -118.600000
011, 23, 33.933333, -118.587796
011, 24, 33.920133, -118.566667
011, 25, 33.950000, -118.450000
012, 01, 34.016667, -118.783333
012, 02, 34.016667, -118.816667
012, 03, 34.016667, -118.850000
012, 04, 34.050000, -118.850000
012, 05, 34.050000, -118.883333
012, 06, 34.050000, -118.916667
012, 07, 34.050000, -118.950000
012, 08, 34.050000, -118.983333
012, 09, 34.050000, -119.016667
012, 10, 34.083333, -119.016667
012, 11, 34.083333, -119.050000
012, 12, 33.992347, -119.100000
012, 13, 33.970392, -119.066667
012, 14, 33.966667, -119.054482
012, 15, 33.961157, -119.033333
012, 16, 33.961157, -119.000000
012, 17, 33.961157, -118.966667
012, 18, 33.959020, -118.933333
012, 19, 33.937068, -118.900000
012, 20, 33.933333, -118.887796
012, 21, 33.927824, -118.866667
012, 22, 33.927824, -118.833333
012, 23, 33.927824, -118.800000
012, 24, 33.927824, -118.766667
012, 25, 34.016667, -118.783333
013, 01, 34.083333, -119.050000
013, 02, 34.083333, -119.083333
013, 03, 34.083333, -119.116667
013, 04, 34.083333, -119.150000
013, 05, 34.116667, -119.150000
013, 06, 34.116667, -119.183333
013, 07, 34.150000, -119.183333
013, 08, 34.150000, -119.216667
013, 09, 34.150000, -119.250000
013, 10, 34.183333, -119.250000
013, 11, 34.154269, -119.366667
013, 12, 34.133333, -119.356728
013, 13, 34.100000, -119.340025
013, 14, 34.093144, -119.333333
013, 15, 34.070365, -119.300000
013, 16, 34.066667, -119.287872
013, 17, 34.059001, -119.266667
013, 18, 34.033333, -119.240133
013, 19, 34.026539, -119.233333
013, 20, 34.003716, -119.200000
013, 21, 34.000000, -119.187834
013, 22, 33.994489, -119.166667
013, 23, 33.994489, -119.133333
013, 24, 33.992347, -119.100000
013, 25, 34.083333, -119.050000
014, 01, 34.183333, -119.250000
014, 02, 34.216667, -119.250000
014, 03, 34.216667, -119.283333
014, 04, 34.250000, -119.283333
014, 05, 34.283333, -119.283333
014, 06, 34.283333, -119.316667
014, 07, 34.283333, -119.350000
014, 08, 34.316667, -119.350000
014, 09, 34.316667, -119.383333
014, 10, 34.316667, -119.416667
014, 11, 34.350000, -119.416667
014, 12, 34.350000, -119.450000
014, 13, 34.383333, -119.450000
014, 14, 34.383333, -119.483333
014, 15, 34.292288, -119.533333
014, 16, 34.266667, -119.507014
014, 17, 34.259658, -119.500000
014, 18, 34.236987, -119.466667
014, 19, 34.233333, -119.454635
014, 20, 34.225635, -119.433333
014, 21, 34.203662, -119.400000
014, 22, 34.200000, -119.395338
014, 23, 34.166667, -119.373428
014, 24, 34.154269, -119.366667
014, 25, 34.183333, -119.250000
015, 01, 34.383333, -119.483333
015, 02, 34.383333, -119.516667
015, 03, 34.383333, -119.550000
015, 04, 34.416667, -119.550000
015, 05, 34.416667, -119.583333
015, 06, 34.416667, -119.616667
015, 07, 34.416667, -119.650000
015, 08, 34.416667, -119.683333
015, 09, 34.416667, -119.716667
015, 10, 34.383333, -119.716667
015, 11, 34.383333, -119.750000
015, 12, 34.416667, -119.750000
015, 13, 34.325615, -119.833333
015, 14, 34.303635, -119.800000
015, 15, 34.300000, -119.788008
015, 16, 34.294481, -119.766667
015, 17, 34.294481, -119.733333
015, 18, 34.294481, -119.700000
015, 19, 34.300000, -119.678659
015, 20, 34.303635, -119.666667
015, 21, 34.325615, -119.633333
015, 22, 34.303635, -119.600000
015, 23, 34.300000, -119.588008
015, 24, 34.294481, -119.566667
015, 25, 34.292288, -119.533333
015, 26, 34.383333, -119.483333
016, 01, 34.416667, -119.750000
016, 02, 34.416667, -119.783333
016, 03, 34.416667, -119.816667
016, 04, 34.416667, -119.850000
016, 05, 34.416667, -119.883333
016, 06, 34.416667, -119.916667
016, 07, 34.450000, -119.916667
016, 08, 34.450000, -119.950000
016, 09, 34.450000, -119.983333
016, 10, 34.450000, -120.016667
016, 11, 34.450000, -120.050000
016, 12, 34.450000, -120.083333
016, 13, 34.450000, -120.116667
016, 14, 34.366667, -120.154713
016, 15, 34.361146, -120.133333
016, 16, 34.361146, -120.100000
016, 17, 34.361146, -120.066667
016, 18, 34.361146, -120.033333
016, 19, 34.358941, -120.000000
016, 20, 34.336960, -119.966667
016, 21, 34.333333, -119.954694
016, 22, 34.327814, -119.933333
016, 23, 34.327814, -119.900000
016, 24, 34.327814, -119.866667
016, 25, 34.325615, -119.833333
016, 26, 34.416667, -119.750000
017, 01, 34.450000, -120.116667
017, 02, 34.483333, -120.116667
017, 03, 34.483333, -120.150000
017, 04, 34.483333, -120.183333
017, 05, 34.483333, -120.216667
017, 06, 34.483333, -120.250000
017, 07, 34.483333, -120.283333
017, 08, 34.483333, -120.316667
017, 09, 34.450000, -120.316667
017, 10, 34.450000, -120.350000
017, 11, 34.450000, -120.383333
017, 12, 34.450000, -120.416667
017, 13, 34.450000, -120.450000
017, 14, 34.361146, -120.466667
017, 15, 34.361146, -120.433333
017, 16, 34.361146, -120.400000
017, 17, 34.361146, -120.366667
017, 18, 34.361146, -120.333333
017, 19, 34.361146, -120.300000
017, 20, 34.366667, -120.278620
017, 21, 34.370284, -120.266667
017, 22, 34.392268, -120.233333
017, 23, 34.392268, -120.200000
017, 24, 34.370284, -120.166667
017, 25, 34.366667, -120.154713
017, 26, 34.450000, -120.116667
018, 01, 34.450000, -120.450000
018, 02, 34.450000, -120.483333
018, 03, 34.483333, -120.483333
018, 04, 34.483333, -120.516667
018, 05, 34.516667, -120.516667
018, 06, 34.550000, -120.516667
018, 07, 34.550000, -120.550000
018, 08, 34.550000, -120.583333
018, 09, 34.550000, -120.616667
018, 10, 34.550000, -120.650000
018, 11, 34.583333, -120.650000
018, 12, 34.566667, -120.757283
018, 13, 34.533333, -120.757240
018, 14, 34.500000, -120.740444
018, 15, 34.492777, -120.733333
018, 16, 34.470257, -120.700000
018, 17, 34.466667, -120.688105
018, 18, 34.461144, -120.666667
018, 19, 34.459055, -120.633333
018, 20, 34.433333, -120.607040
018, 21, 34.426172, -120.600000
018, 22, 34.400000, -120.573803
018, 23, 34.392869, -120.566667
018, 24, 34.370284, -120.533333
018, 25, 34.366667, -120.521380
018, 26, 34.361146, -120.500000
018, 27, 34.361146, -120.466667
018, 28, 34.450000, -120.450000
019, 01, 34.583333, -120.650000
019, 02, 34.616667, -120.650000
019, 03, 34.616667, -120.616667
019, 04, 34.650000, -120.616667
019, 05, 34.683333, -120.616667
019, 06, 34.716667, -120.616667
019, 07, 34.750000, -120.616667
019, 08, 34.750000, -120.650000
019, 09, 34.783333, -120.650000
019, 10, 34.783333, -120.616667
019, 11, 34.816667, -120.616667
019, 12, 34.850000, -120.616667
019, 13, 34.800000, -120.757565
019, 14, 34.766667, -120.757543
019, 15, 34.733333, -120.757499
019, 16, 34.700000, -120.740656
019, 17, 34.666667, -120.740567
019, 18, 34.633333, -120.757348
019, 19, 34.600000, -120.757326
019, 20, 34.566667, -120.757283
019, 21, 34.583333, -120.650000
020, 01, 34.850000, -120.616667
020, 02, 34.883333, -120.616667
020, 03, 34.883333, -120.650000
020, 04, 34.883333, -120.683333
020, 05, 34.916667, -120.683333
020, 06, 34.950000, -120.683333
020, 07, 34.950000, -120.650000
020, 08, 34.983333, -120.650000
020, 09, 35.016667, -120.650000
020, 10, 35.050000, -120.650000
020, 11, 35.050000, -120.616667
020, 12, 35.083333, -120.616667
020, 13, 35.033333, -120.757894
020, 14, 35.014316, -120.766667
020, 15, 35.000000, -120.774258
020, 16, 34.966667, -120.791117
020, 17, 34.933333, -120.791095
020, 18, 34.900000, -120.791051
020, 19, 34.866667, -120.791007
020, 20, 34.833333, -120.774132
020, 21, 34.819464, -120.766667
020, 22, 34.800000, -120.757565
020, 23, 34.850000, -120.616667
021, 01, 35.083333, -120.616667
021, 02, 35.116667, -120.616667
021, 03, 35.116667, -120.650000
021, 04, 35.150000, -120.650000
021, 05, 35.150000, -120.683333
021, 06, 35.183333, -120.683333
021, 07, 35.183333, -120.716667
021, 08, 35.183333, -120.750000
021, 09, 35.150000, -120.750000
021, 10, 35.150000, -120.783333
021, 11, 35.183333, -120.783333
021, 12, 35.183333, -120.816667
021, 13, 35.183333, -120.850000
021, 14, 35.216667, -120.850000
021, 15, 35.158830, -120.966667
021, 16, 35.133333, -120.941146
021, 17, 35.125527, -120.933333
021, 18, 35.103418, -120.900000
021, 19, 35.100000, -120.888486
021, 20, 35.092125, -120.866667
021, 21, 35.070094, -120.833333
021, 22, 35.066667, -120.821799
021, 23, 35.061128, -120.800000
021, 24, 35.052061, -120.766667
021, 25, 35.033333, -120.757894
021, 26, 35.083333, -120.616667
022, 01, 35.216667, -120.850000
022, 02, 35.216667, -120.883333
022, 03, 35.250000, -120.883333
022, 04, 35.250000, -120.916667
022, 05, 35.283333, -120.916667
022, 06, 35.283333, -120.883333
022, 07, 35.316667, -120.883333
022, 08, 35.350000, -120.883333
022, 09, 35.383333, -120.883333
022, 10, 35.416667, -120.883333
022, 11, 35.450000, -120.883333
022, 12, 35.358739, -121.033333
022, 13, 35.333333, -121.007956
022, 14, 35.300000, -121.024894
022, 15, 35.266667, -121.024871
022, 16, 35.233333, -121.024827
022, 17, 35.200000, -121.007864
022, 18, 35.192132, -121.000000
022, 19, 35.166667, -120.974510
022, 20, 35.158830, -120.966667
022, 21, 35.216667, -120.850000
023, 01, 35.450000, -120.883333
023, 02, 35.450000, -120.916667
023, 03, 35.450000, -120.950000
023, 04, 35.450000, -120.983333
023, 05, 35.450000, -121.016667
023, 06, 35.483333, -121.016667
023, 07, 35.483333, -121.050000
023, 08, 35.516667, -121.050000
023, 09, 35.516667, -121.083333
023, 10, 35.550000, -121.083333
023, 11, 35.550000, -121.116667
023, 12, 35.583333, -121.116667
023, 13, 35.551017, -121.233333
023, 14, 35.533333, -121.225231
023, 15, 35.500000, -121.208196
023, 16, 35.491817, -121.200000
023, 17, 35.466667, -121.174825
023, 18, 35.458520, -121.166667
023, 19, 35.433333, -121.141455
023, 20, 35.425224, -121.133333
023, 21, 35.400000, -121.108085
023, 22, 35.391947, -121.100000
023, 23, 35.370012, -121.066667
023, 24, 35.366667, -121.055318
